"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"24-JUN-2025","AVALON","Avalon Technologies Ltd","ALCHEMY EMERGING LEADERS OF TOMORROW","BUY","4,94,400","809.00",
"24-JUN-2025","AVALON","Avalon Technologies Ltd","ALCHEMY INDIA LONG TERM FUND","BUY","1,85,400","809.00",
"24-JUN-2025","AVALON","Avalon Technologies Ltd","ALCHEMY LEADERS OF TOMORROW","BUY","3,09,000","809.00",
"24-JUN-2025","AVALON","Avalon Technologies Ltd","BHASKAR SRINIVASAN","SELL","11,98,800","809.00",
"24-JUN-2025","AVALON","Avalon Technologies Ltd","ITI MUTUAL FUND","BUY","61,800","809.00",
"24-JUN-2025","AVALON","Avalon Technologies Ltd","ITI MUTUAL FUND","BUY","1,48,200","809.00",
"24-JUN-2025","QUICKHEAL","Quick Heal Tech Ltd","ANUPAMA KAILASH KATKAR","SELL","33,19,498","362.00",
"24-JUN-2025","QUICKHEAL","Quick Heal Tech Ltd","SNEHA KAILASH KATKAR","BUY","33,19,498","362.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","ASK ABSOLUTE RETURN FUND","BUY","7,73,195","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","AXIS MUTUAL FUND","BUY","7,75,193","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED","BUY","3,33,682","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","HDFC MUTUAL FUND","BUY","10,97,464","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","HILL FORT INDIA FUND LP","BUY","13,30,000","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","18,86,852","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","28,85,814","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","NEXUS OPPORTUNITY FUND LTD","SELL","17,00,129","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","NEXUS VENTURES III LIMITED","SELL","1,02,12,071","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","TATA EQUITY PLUS ABSOLUTE RETURNS FUND","BUY","3,00,000","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","TATA MUTUAL FUND","BUY","16,45,000","387.00",
"26-JUN-2025","DELHIVERY","Delhivery Limited","VIRIDIAN ASIA OPPORTUNITIES MASTER FUND","BUY","8,85,000","387.00",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","ALOK  BANSAL","SELL","16,50,000","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED","BUY","56,699","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","EDELWEISS LIFE INSURANCE COMPANY LIMITED","BUY","54,903","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","GHISALLO MASTER FUND LP","BUY","7,55,992","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","GOLDMAN SACHS (SINGAPORE) PTE","BUY","56,699","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","GOLDMAN SACHS INVESTMENTS MAURITIUS I LIMITED","BUY","70,874","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","HDFC LIFE INSURANCE COMPANY LIMITED","BUY","7,13,697","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED","BUY","7,55,000","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","94,499","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","MORGAN STANLEY ASIA SINGAPORE PTE","BUY","4,81,307","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","SOCIETE GENERALE","BUY","5,24,467","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","SUBHKAM VENTURES I PVT LTD","BUY","2,00,000","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","TARA EMERGING ASIA LIQUID FUND","BUY","70,874","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","TATA MUTUAL FUND","BUY","4,11,748","1,821.50",
"26-JUN-2025","POLICYBZR","PB Fintech Limited","VIRIDIAN ASIA OPPORTUNITIES MASTER FUND","BUY","94,499","1,821.50",
