"Date ","Symbol ","Security Name ","Quantity "
"23-JUN-2025","ADANIENT","ADANI ENTERPRISES LIMITED","5"
"23-JUN-2025","APLAPOLLO","APL APOLLO TUBES LTD","40"
"23-JUN-2025","APOLLO","APOLLO MICRO SYSTEMS LTD","90,867"
"23-JUN-2025","BBETF0432","EDELAMC - BBETF0432","16"
"23-JUN-2025","BEL","BHARAT ELECTRONICS LTD","1,268"
"23-JUN-2025","BHARTIARTL","BHARTI AIRTEL LIMITED","135"
"23-JUN-2025","BLUESTARCO","BLUE STAR LIMITED","28,600"
"23-JUN-2025","BSE","BSE LIMITED","15"
"23-JUN-2025","CAMS","COMPUTER AGE MGMT SER LTD","165"
"23-JUN-2025","CDSL","CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED","40"
"23-JUN-2025","CONCORDBIO","CONCORD BIOTECH LIMITED","3"
"23-JUN-2025","DIXON","DIXON TECHNO (INDIA) LTD","64"
"23-JUN-2025","DRREDDY","DR. REDDY'S LABORATORIES","1"
"23-JUN-2025","ETERNAL","ETERNAL LIMITED","90"
"23-JUN-2025","ETHOSLTD","ETHOS LIMITED","1,242"
"23-JUN-2025","GAIL","GAIL (INDIA) LTD","300"
"23-JUN-2025","GLENMARK","GLENMARK PHARMACEUTICALS LIMITED","40"
"23-JUN-2025","GRANULES","GRANULES INDIA LIMITED   ","132"
"23-JUN-2025","HCC","HINDUSTAN CONSTRUCTION CO","41"
"23-JUN-2025","HCLTECH","HCL TECHNOLOGIES LTD","20"
"23-JUN-2025","HEROMOTOCO","HERO MOTOCORP LTD","2,274"
"23-JUN-2025","HINDALCO","HINDALCO  INDUSTRIES  LTD","200"
"23-JUN-2025","HUDCO","HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED","900"
"23-JUN-2025","IDEAFORGE","IDEAFORGE TECHNO LTD","1,27,624"
"23-JUN-2025","IEX","INDIAN ENERGY EXCHANGE LIMITED","100"
"23-JUN-2025","INDUSINDBK","INDUSIND BANK LIMITED","2"
"23-JUN-2025","IREDA","INDIAN RENEWABLE ENERGY","3,295"
"23-JUN-2025","JBMA","JBM AUTO LIMITED","10"
"23-JUN-2025","JIOFIN","JIO FIN SERVICES LTD","38"
"23-JUN-2025","JPPOWER","JAIPRAKASH POWER VEN. LTD","1,000"
"23-JUN-2025","KEI","KEI INDUSTRIES LTD.      ","145"
"23-JUN-2025","KFINTECH","KFIN TECHNOLOGIES LIMITED","150"
"23-JUN-2025","LAURUSLABS","LAURUS LABS LIMITED","200"
"23-JUN-2025","MAZDOCK","MAZAGON DOCK SHIPBUIL LTD","731"
"23-JUN-2025","MCX","MULTI COMMODITY EXCHANGE OF INDIA LIMITED","29"
"23-JUN-2025","NAVA","NAVA LIMITED","5"
"23-JUN-2025","NIF10GETF","UTIAMC - NIF10GETF","2"
"23-JUN-2025","NORTHARC","NORTHERN ARC CAPITAL LTD","312"
"23-JUN-2025","NYKAA","FSN E COMMERCE VENTURES","1,000"
"23-JUN-2025","PAGEIND","PAGE INDUSTRIES LTD","3"
"23-JUN-2025","POLICYBZR","PB FINTECH LIMITED","30"
"23-JUN-2025","POONAWALLA","POONAWALLA FINCORP LTD","3,400"
"23-JUN-2025","POWERGRID","POWER GRID CORP. LTD.","51"
"23-JUN-2025","RBLBANK","RBL BANK LIMITED    ","180"
"23-JUN-2025","SBILIFE","SBI LIFE INSURANCE COMPANY LIMITED","26"
"23-JUN-2025","SHILPAMED","SHILPA MEDICARE LTD","41"
"23-JUN-2025","SOLARA","SOLARA ACTIVE PHA SCI LTD","900"
"23-JUN-2025","SUPREMEIND","SUPREME INDUSTRIES LTD","13,375"
"23-JUN-2025","TATAELXSI","TATA ELXSI LIMITED       ","25"
"23-JUN-2025","TATASTEEL","TATA STEEL LIMITED","49"
"23-JUN-2025","TITAGARH","TITAGARH RAIL SYSTEMS","225"
"23-JUN-2025","TRENT","TRENT LIMITED","1,200"
"23-JUN-2025","VIPIND","VIP INDUSTRIES LTD","8"
"23-JUN-2025","VOLTAS","VOLTAS LTD","1,275"
"23-JUN-2025","YESBANK","YES BANK LIMITED","2"
"23-JUN-2025","ZEEL","ZEE ENTERTAINMENT ENT LTD","10"
"23-JUN-2025","ZENTEC","ZEN TECHNOLOGIES LIMITED","20,063"
"24-JUN-2025","ABCAPITAL","ADITYA BIRLA CAPITAL LIMITED","200"
"24-JUN-2025","ADANIENSOL","ADANI ENERGY SOLUTION LTD","1"
"24-JUN-2025","ADANIGREEN","ADANI GREEN ENERGY LTD","10"
"24-JUN-2025","AMBUJACEM","AMBUJA CEMENTS LTD","200"
"24-JUN-2025","ASTRAL","ASTRAL POLY TECHNIK LIMITED","11,050"
"24-JUN-2025","AVALON","AVALON TECHNOLOGIES LTD","5"
"24-JUN-2025","BAJAJCON","BAJAJ CONSUMER CARE LTD","3,52,362"
"24-JUN-2025","BAJAJHFL","BAJAJ HOUSING FINANCE LTD","400"
"24-JUN-2025","BANKBARODA","BANK OF BARODA","46"
"24-JUN-2025","BBETF0432","EDELAMC - BBETF0432","12"
"24-JUN-2025","BEL","BHARAT ELECTRONICS LTD","200"
"24-JUN-2025","BHARTIARTL","BHARTI AIRTEL LIMITED","15"
"24-JUN-2025","BPCL","BHARAT PETROLEUM CORP  LT","137"
"24-JUN-2025","BRITANNIA","BRITANNIA INDUSTRIES LIMITED","8"
"24-JUN-2025","CDSL","CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED","25"
"24-JUN-2025","CGCL","CGCL","100"
"24-JUN-2025","COFORGE","COFORGE LIMITED","75"
"24-JUN-2025","DALBHARAT","DALMIA BHARAT LIMITED","5"
"24-JUN-2025","DIXON","DIXON TECHNO (INDIA) LTD","25"
"24-JUN-2025","EICHERMOT","EICHER MOTORS LIMITED","8"
"24-JUN-2025","ETHOSLTD","ETHOS LIMITED","847"
"24-JUN-2025","FSL","FIRSTSOURCE SOLU. LTD.","200"
"24-JUN-2025","GICRE","GENERAL INSURANCE CORPORATION OF INDIA","500"
"24-JUN-2025","HDFCAMC","HDFC AMC LIMITED","1"
"24-JUN-2025","HFCL","HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED","510"
"24-JUN-2025","HINDALCO","HINDALCO  INDUSTRIES  LTD","30"
"24-JUN-2025","ICICIBANK","ICICI BANK LTD.","15"
"24-JUN-2025","INDUSTOWER","INDUS","229"
"24-JUN-2025","INOXWIND","INOX WIND LIMITED        ","90,300"
"24-JUN-2025","IOC","INDIAN OIL CORP LTD","200"
"24-JUN-2025","IRFC","IRFC","220"
"24-JUN-2025","ITC","ITC LTD","50"
"24-JUN-2025","JINDALSAW","JINDAL SAW LIMITED","2,679"
"24-JUN-2025","JKLAKSHMI","JK LAKSHMI CEMENT LTD    ","785"
"24-JUN-2025","KIRLOSBROS","KIRLOSKAR BROTHERS LTD","55"
"24-JUN-2025","KOTAKBANK","KOTAK MAHINDRA BANK LTD","10"
"24-JUN-2025","KPITTECH","KPIT TECHNOLOGIES LTD","64,000"
"24-JUN-2025","LT","LARSEN & TOUBRO LTD.","20"
"24-JUN-2025","LTF","L&T FINANCE LIMITED","1,920"
"24-JUN-2025","LXCHEM","LAXMI ORGANIC INDUS LTD","100"
"24-JUN-2025","MAZDOCK","MAZAGON DOCK SHIPBUIL LTD","5"
"24-JUN-2025","MCX","MULTI COMMODITY EXCHANGE OF INDIA LIMITED","10"
"24-JUN-2025","NBCC","NATIONAL BUILDINGS LTD   ","6,050"
"24-JUN-2025","NTPC","NTPC LTD","1"
"24-JUN-2025","OBEROIRLTY","OBEROI REALTY LIMITED","1"
"24-JUN-2025","OFSS","Oracle Financial Services Software Limited","25"
"24-JUN-2025","OIL","OIL INDIA LTD","2,13,925"
"24-JUN-2025","PNB","PUNJAB NATIONAL BANK","500"
"24-JUN-2025","POONAWALLA","POONAWALLA FINCORP LTD","2,900"
"24-JUN-2025","POWERGRID","POWER GRID CORP. LTD.","3"
"24-JUN-2025","RAILTEL","RAILTEL","242"
"24-JUN-2025","RBLBANK","RBL BANK LIMITED    ","900"
"24-JUN-2025","RECLTD","RURAL ELEC CORP. LTD.","2"
"24-JUN-2025","RELIANCE","RELIANCE INDUSTRIES LTD","12"
"24-JUN-2025","RTNINDIA","RATTANINDIA ENT LIMITED","54"
"24-JUN-2025","SBILIFE","SBI LIFE INSURANCE COMPANY LIMITED","71"
"24-JUN-2025","SBIN","STATE BANK OF INDIA","6"
"24-JUN-2025","SCI","SHIPPING CORP OF INDIA LT","200"
"24-JUN-2025","SHRIRAMFIN","SHRIRAM FINANCE LIMITED","1"
"24-JUN-2025","SIEMENS","SIEMENS LTD","700"
"24-JUN-2025","SONACOMS","SONA BLW PRECISION FRGS L","1,050"
"24-JUN-2025","SUZLON","SUZLON ENERGY LIMITED","1,000"
"24-JUN-2025","TATACOMM","TATA COMMUNICATIONS LTD","50"
"24-JUN-2025","TATAELXSI","TATA ELXSI LIMITED       ","1"
"24-JUN-2025","TATASTEEL","TATA STEEL LIMITED","161"
